beta,seed,cfm_loss,kl,straightness,cls_acc_logreg,cls_acc_mlp,dist_r2_linreg,dist_r2_mlp
0.0,0,1.94041,21.866421,0.05342,1.0,1.0,-0.0004,0.7722
0.0,1,2.1045,20.094641,0.05412,1.0,1.0,-0.0001,0.9768
0.0,2,2.00777,21.122087,0.05466,1.0,1.0,-0.0007,0.984
0.001,0,1.94284,8.903763,0.05911,1.0,1.0,-0.0004,0.9516
0.001,1,2.1053,8.69258,0.05927,1.0,1.0,-0.0002,0.987
0.001,2,2.00899,8.641492,0.06273,1.0,1.0,-0.0007,0.981
0.01,0,1.95703,5.655641,0.1183,0.999,0.9986,-0.0004,0.9913
0.01,1,2.12338,5.618457,0.1173,0.9654,0.9654,-0.0002,0.9479
0.01,2,2.02275,5.539063,0.12031,0.9872,0.9876,-0.0004,0.9706
0.05,0,2.02961,2.527102,0.41492,0.3996,0.4068,-0.0001,0.758
0.05,1,2.2006,2.567317,0.4034,0.4392,0.441,0.0009,0.7442
0.05,2,2.10575,2.54587,0.40088,0.4232,0.4268,0.0005,0.7321
0.1,0,2.10853,1.386245,0.73267,0.325,0.329,-0.0003,0.9326
0.1,1,2.28685,1.401103,0.7172,0.33,0.3272,0.0006,0.9272
0.1,2,2.18834,1.390135,0.72522,0.3082,0.3088,0.0001,0.9422
0.5,0,2.35637,0.12954,1.71273,0.3072,0.3046,-0.0002,0.9623
0.5,1,2.54134,0.125466,1.69399,0.285,0.2832,-0.0001,0.977
0.5,2,2.43815,0.129812,1.69936,0.2998,0.295,-0.0003,0.9603
1.0,0,2.4176,0.036809,1.95704,0.287,0.2764,-0.0004,0.9782
1.0,1,2.60498,0.034016,1.93834,0.2836,0.2884,-0.0,0.9809
1.0,2,2.50407,0.035715,1.94452,0.2946,0.2812,-0.0003,0.9753
2.0,0,2.4551,0.009759,2.10267,0.29,0.2872,-0.0004,0.973
2.0,1,2.64165,0.008781,2.076,0.2804,0.2808,-0.0001,0.9822
2.0,2,2.53877,0.009223,2.08386,0.2846,0.2828,-0.0004,0.9788
5.0,0,2.47817,0.001524,2.19119,0.272,0.2778,-0.0003,0.9861
5.0,1,2.66423,0.001583,2.16326,0.2854,0.2832,-0.0002,0.9771
5.0,2,2.56202,0.00158,2.17282,0.2858,0.2824,-0.0004,0.9814
10.0,0,2.48555,0.000359,2.22238,0.2738,0.2748,-0.0003,0.9864
10.0,1,2.66629,0.000411,2.18843,0.2806,0.2806,-0.0001,0.9842
10.0,2,2.57592,0.000446,2.207,0.2874,0.2856,-0.0005,0.9819
50.0,0,2.49419,1.8e-05,2.25375,0.2898,0.2818,-0.0004,0.9721
50.0,1,2.6695,1.5e-05,2.21315,0.2752,0.278,-0.0,0.9875
50.0,2,2.58605,1.3e-05,2.23778,0.2898,0.2832,-0.0005,0.979
100.0,0,2.49508,6e-06,2.25659,0.2884,0.2826,-0.0003,0.9753
100.0,1,2.67103,3e-06,2.21511,0.276,0.2766,-0.0,0.9879
100.0,2,2.58102,3e-06,2.23744,0.2866,0.278,-0.0005,0.979
1000.0,0,2.49788,0.0,2.26757,0.3068,0.3086,-0.0003,0.9568
1000.0,1,2.67443,0.0,2.21936,0.279,0.2808,-0.0001,0.9857
1000.0,2,2.57917,0.0,2.23571,0.2722,0.2742,-0.0005,0.9888
