beta,seed,cfm_loss,kl,straightness,cls_acc_logreg,cls_acc_mlp,dist_r2_linreg,dist_r2_mlp
0.02,0,1.97516,4.299102,0.19506,0.7816,0.7838,0.0,0.7197
0.02,1,2.14433,4.335888,0.19036,0.8174,0.819,0.0004,0.7507
0.02,2,2.04467,4.259387,0.18801,0.7872,0.7872,0.0008,0.7303
0.03,0,1.99291,3.481326,0.26951,0.5724,0.5758,0.0,0.6542
0.03,1,2.16434,3.533867,0.263,0.6588,0.656,0.002,0.6886
0.03,2,2.06609,3.480513,0.25973,0.5998,0.5978,0.0016,0.6752
0.07,0,2.0634,1.947051,0.54989,0.3592,0.3658,-0.0004,0.8458
0.07,1,2.23692,1.976849,0.53378,0.3782,0.3786,0.0008,0.8388
0.07,2,2.14059,1.961258,0.5374,0.3538,0.3564,0.0002,0.8516
0.15,0,2.17182,0.858801,0.98641,0.3126,0.3082,-0.0003,0.9596
0.15,1,2.35055,0.86889,0.96587,0.2872,0.2796,0.0003,0.9753
0.15,2,2.25182,0.863287,0.97925,0.3156,0.305,-0.0002,0.9574
0.2,0,2.22146,0.578559,1.17829,0.31,0.3078,-0.0002,0.9612
0.2,1,2.40025,0.580206,1.15905,0.2866,0.2794,0.0002,0.9807
0.2,2,2.29974,0.581489,1.17045,0.316,0.297,-0.0003,0.9573
0.3,0,2.29049,0.309508,1.44063,0.312,0.3054,-0.0002,0.9601
0.3,1,2.46675,0.308127,1.41884,0.2766,0.2848,-0.0001,0.9798
0.3,2,2.36321,0.312048,1.42851,0.3128,0.3028,-0.0003,0.9579
