seed,omega,probe,dx0_r2,dx1_r2,dist_r2
0,0.1,linear,0.4088,0.3952,0.0017
0,0.1,mlp_64_32,0.5434,0.596,0.8189
0,0.1,mlp_256_128,0.572,0.5849,0.8221
0,0.1,knn_10,0.5448,0.5251,0.8189
0,0.2,linear,0.4755,0.4612,0.0017
0,0.2,mlp_64_32,0.5503,0.537,0.6374
0,0.2,mlp_256_128,0.5465,0.5353,0.642
0,0.2,knn_10,0.5077,0.4874,0.6198
0,0.4,linear,0.6367,0.6232,0.0015
0,0.4,mlp_64_32,0.6671,0.656,0.4091
0,0.4,mlp_256_128,0.6669,0.6549,0.4059
0,0.4,knn_10,0.6416,0.6086,0.3826
1,0.1,linear,0.4032,0.3677,-0.0003
1,0.1,mlp_64_32,0.5529,0.536,0.8103
1,0.1,mlp_256_128,0.5568,0.5345,0.8169
1,0.1,knn_10,0.5037,0.5279,0.8111
1,0.2,linear,0.4708,0.4358,-0.0003
1,0.2,mlp_64_32,0.562,0.4841,0.6338
1,0.2,mlp_256_128,0.5539,0.5207,0.6376
1,0.2,knn_10,0.5118,0.4836,0.6109
1,0.4,linear,0.6343,0.6049,-0.0005
1,0.4,mlp_64_32,0.6684,0.6321,0.4066
1,0.4,mlp_256_128,0.6661,0.6267,0.3931
1,0.4,knn_10,0.6409,0.6007,0.3549
2,0.1,linear,0.4426,0.4024,0.0
2,0.1,mlp_64_32,0.5731,0.5902,0.8466
2,0.1,mlp_256_128,0.5926,0.5923,0.8444
2,0.1,knn_10,0.559,0.5369,0.8311
2,0.2,linear,0.5071,0.4681,-0.0
2,0.2,mlp_64_32,0.5827,0.5591,0.6709
2,0.2,mlp_256_128,0.5853,0.5569,0.6745
2,0.2,knn_10,0.5419,0.5132,0.6424
2,0.4,linear,0.6598,0.6282,-0.0001
2,0.4,mlp_64_32,0.6904,0.6607,0.4557
2,0.4,mlp_256_128,0.6917,0.6599,0.4539
2,0.4,knn_10,0.6676,0.6246,0.404
