knob,value,removal,removal_sd,preservation,preservation_sd
beta,0.0,1.0,0.0,0.911,0.12025822217212423
beta,0.001,1.0,0.0,0.9732,0.01894518408461628
beta,0.01,0.9838666666666667,0.016911928728957342,0.9699333333333332,0.021707679132816904
beta,0.02,0.7966666666666667,0.01941580112520035,0.7335666666666666,0.01575605703636964
beta,0.03,0.6098666666666667,0.04143927283789298,0.6726666666666666,0.017339357927366666
beta,0.05,0.42486666666666667,0.017181773288381313,0.7447666666666667,0.012959295248327903
beta,0.07,0.36693333333333333,0.011143308904151106,0.8454,0.006409368143584831
beta,0.1,0.3216666666666667,0.011179147254300435,0.934,0.007597367965289078
beta,0.15,0.29760000000000003,0.015670354175959123,0.9641000000000001,0.00976165969494938
beta,0.2,0.29473333333333335,0.014335038658243426,0.9664,0.012536745989290837
beta,0.3,0.2976666666666667,0.011218437205481591,0.9659333333333334,0.012059159727499005
beta,0.5,0.2942666666666667,0.010718830782008503,0.9665333333333334,0.009119393254670656
beta,1.0,0.282,0.006039867548216603,0.9781333333333334,0.002800595174839353
beta,2.0,0.2836,0.003274141108749006,0.9780000000000001,0.004651881339845169
beta,5.0,0.2811333333333333,0.002914332399252612,0.9815333333333333,0.0045014812376965
beta,10.0,0.2803333333333333,0.005404936015655835,0.9841666666666667,0.0022501851775651076
beta,50.0,0.28099999999999997,0.002690724809414729,0.9795333333333334,0.007713840375152573
beta,100.0,0.2790666666666667,0.003139001964531615,0.9807333333333332,0.006476367294504954
beta,1000.0,0.28786666666666666,0.01825632310552518,0.9771000000000001,0.01764851268520954
omega,0.0,0.9994666666666667,0.000230940107675897,0.976674477259318,0.007553679982840472
omega,0.1,0.8429333333333333,0.013707418915803692,0.825262983640035,0.018970039083533105
omega,0.2,0.7162666666666667,0.00934094927367308,0.6473443508148193,0.020452777811079553
omega,0.3,0.6068000000000001,0.00597327380922724,0.48361655076344806,0.02052814125778733
omega,0.4,0.5299999999999999,0.00734302390027435,0.4238038857777913,0.02765809704602054
omega,0.5,0.46373333333333333,0.0054012344268077744,0.471195916334788,0.023555225894137874
omega,0.6,0.39999999999999997,0.0036000000000000407,0.5896481076876322,0.006125558974174949
omega,0.7,0.3486666666666667,0.00589689183666557,0.7387006878852844,0.008333776361362398
omega,0.8,0.3068,0.009699484522385731,0.8784413933753967,0.00612119649543097
omega,0.9,0.27773333333333333,0.00220302821891444,0.968863864739736,0.0021085501281382572
omega,1.0,0.27240000000000003,0.006729041536504306,0.9872569640477499,0.0014975769096393094
baseline,Raw-none,1.0,,0.9978920817375184,
baseline,FastICA-residA,0.4928,,0.457441508769989,
baseline,FastICA-residB,0.2496,,0.9996494512102976,
baseline,iVAE-residA,0.8802,,0.2748975157737732,
baseline,iVAE-residB,0.263,,0.9943464994430542,
