residualiser,iteration,digit_acc_logreg,digit_acc_mlp,b_r2_mlp,rot_r2_mlp,mean_preserv_mlp
linear,0,0.9467,0.9785,0.9904285703918139,0.9241177742912008,0.9572731723415073
linear,1,0.1135,0.8943,0.9891917293572905,0.7926509784484166,0.8909213539028535
linear,2,0.1135,0.897,0.9883864969619301,0.7868286953959162,0.8876075961789232
linear,3,0.1135,0.8977,0.9883314449328529,0.7800638629228602,0.8841976539278565
linear,4,0.1135,0.893,0.9884544927746026,0.7891657707946546,0.8888101317846286
linear,5,0.1135,0.8955,0.988637443215062,0.7844980394092934,0.8865677413121777
mlp,0,0.9467,0.9785,0.9904285703918139,0.9241177742912008,0.9572731723415073
mlp,1,0.9451,0.9648,0.988160974099431,0.814154911431587,0.901157942765509
mlp,2,0.9876,0.9741,0.9894771224496807,0.7930862373740961,0.8912816799118883
mlp,3,0.9483,0.9682,0.9890926140975526,0.801035746601157,0.8950641803493548
mlp,4,0.9459,0.9672,0.9893266197173517,0.8144096530359016,0.9018681363766267
mlp,5,0.939,0.962,0.9888638163887657,0.7835168290848183,0.886190322736792
