source,method,k,digit_acc_logreg,digit_acc_mlp,b_r2_linreg,b_r2_mlp,n_dims,rot_r2_linreg,rot_r2_mlp
Raw,none,0,0.9467,0.9788,0.9593389088005404,0.9904506075385203,64,0.6604422671277551,0.9126909604114484
FastICA,residA,1,0.9161,0.9557,0.9548482067501539,0.9828877774948015,63,0.6388516161636407,0.8519279459021678
FastICA,residA,3,0.7873,0.9152,0.9532112946205248,0.9826219713651857,61,0.567676130356711,0.6995032991176133
FastICA,residA,5,0.6917,0.8665,0.9489990658234344,0.9757973908892676,59,0.534136644783847,0.5484148023307596
FastICA,residA,7,0.5797,0.8138,0.9477442233869355,0.9745687278580866,57,0.3910440351301936,0.3952579653129814
FastICA,residA,9,0.4775,0.7127,0.9443469319787369,0.9657468804107746,55,0.3783393250067377,0.3706625760439972
FastICA,residA,11,0.3727,0.594,0.9408621361943943,0.9671882205097159,53,0.36264827788714793,0.32648186503911036
FastICA,residA,13,0.307,0.4813,0.9403320047471793,0.9637152649684763,51,0.2325240039551809,0.09468188876647965
FastICA,residA,15,0.2536,0.371,0.9381206964335196,0.9634628498216042,49,0.05948745295553437,-0.10272661282194795
FastICA,residA,17,0.2003,0.2671,0.9333270341935911,0.9563708532838021,47,0.016669132946852128,-0.1805967361474663
FastICA,residA,19,0.1652,0.19,0.9331440786033335,0.9530289133653134,45,0.013976689796025288,-0.1760087493524385
FastICA,residA,21,0.1376,0.1603,0.9308874653468645,0.9483734431625275,43,0.00202457065330397,-0.16436989362559196
FastICA,residA,23,0.1312,0.1488,0.0049314048028931134,0.06422756443331623,41,0.0018964807850925247,-0.1520375661082769
FastICA,residA,25,0.1292,0.1414,0.002479713042297882,0.0028596600561024976,39,0.002023736665577869,-0.16304696939477425
FastICA,residA,27,0.1257,0.1301,0.0025394218656488166,-0.009263020124588017,37,0.0018310926369391467,-0.16714537808423735
FastICA,residA,29,0.1221,0.1296,0.002594534281036287,0.015021557278358078,35,0.0015992535133674268,-0.14209251119343458
FastICA,residA,31,0.1218,0.1293,0.0025085375363680384,0.03523857080879933,33,0.0014775237177554468,-0.13531817006158753
FastICA,residA,33,0.1227,0.1304,0.0014686123432054998,0.009952080682461228,31,0.0015452511772929833,-0.14595651938036913
FastICA,residA,35,0.1208,0.1273,0.000789718114005411,0.0239647480250591,29,0.0012910268421940652,-0.12011536693573754
FastICA,residA,37,0.1156,0.1282,0.0008121616623306682,0.03931644568895276,27,0.000988635859031417,-0.11702101261215403
FastICA,residA,39,0.1193,0.1192,0.0007550471323145569,0.026919092822801804,25,0.001553458670754515,-0.10184928490697542
FastICA,residA,41,0.1162,0.1239,0.0008043477384734876,0.026930220615634215,23,0.0012947725993657233,-0.10160302096747498
FastICA,residA,43,0.1169,0.1207,0.0008643673062040946,0.03387973894547458,21,0.0010337184303050861,-0.08936572279226085
FastICA,residA,45,0.1155,0.1187,0.0002662954418614083,0.052279130420785136,19,0.0009272814843075405,-0.08372925025163758
FastICA,residA,47,0.1135,0.1188,0.0005202113060582825,0.05236000979720079,17,0.0009762085706724877,-0.06478662863008466
FastICA,residA,49,0.1104,0.117,0.0004988397864338356,0.0449815116111536,15,0.0004593209116559027,-0.06294524085311193
FastICA,residA,51,0.1121,0.1182,0.0002170043561933177,0.04313654590200544,13,0.00029146291659820633,-0.06135567735315295
FastICA,residA,53,0.1132,0.1197,0.0005294728270957005,0.03764128126577437,11,6.713099522859256e-05,-0.043199727676055844
FastICA,residA,55,0.1122,0.1068,5.014232743838498e-05,0.028626318359810332,9,-0.00027943026864041265,-0.027398459282494514
FastICA,residA,57,0.1121,0.108,3.2856962914551424e-05,0.03272890584096655,7,-0.0004654715602956383,-0.020271187387758793
FastICA,residA,59,0.1133,0.1117,0.00017153483997944807,0.025760157837623643,5,-0.0005027723601216394,-0.0035167552782628952
FastICA,residA,61,0.1135,0.1076,4.520336569091565e-05,0.010316669763310915,3,-0.0010846221837876868,0.0022356972605503955
FastICA,residA,63,0.1135,0.1107,6.565202487618382e-05,0.0006226821620237688,1,-0.0010977347628553513,-0.00020848328076716882
