source,method,k,digit_acc_logreg,digit_acc_mlp,b_r2_linreg,b_r2_mlp,n_dims,rot_r2_linreg,rot_r2_mlp
Raw,none,0,0.9467,0.9788,0.9593389088005404,0.9904506075385203,64,0.6604422671277551,0.9126909604114484
iVAE-cond,residA,1,0.9995,0.9995,0.9615337975256681,0.9882194831592694,63,0.6756989798712323,0.9295156561200805
iVAE-cond,residA,3,0.9994,0.9995,0.9615246054561326,0.9891503905240433,61,0.6762512850640052,0.9190441942652582
iVAE-cond,residA,5,0.9994,0.9993,0.9615083188066851,0.9890841833672614,59,0.6760983455549854,0.9221757368411304
iVAE-cond,residA,7,0.9994,0.9994,0.9615860627583127,0.9899205378457604,57,0.6764080894132924,0.9170193899512881
iVAE-cond,residA,9,0.9994,0.9993,0.9616809927400205,0.98949452089416,55,0.6768440593142595,0.915349532989401
iVAE-cond,residA,11,0.9993,0.9993,0.961685106878385,0.9897245313801175,53,0.6767358445518454,0.9152030933883073
iVAE-cond,residA,13,0.9993,0.9991,0.96166477566066,0.9899675682942687,51,0.6769732101072724,0.9232080697242446
iVAE-cond,residA,15,0.9993,0.9994,0.9616054071263052,0.9911121035298996,49,0.6771964681675884,0.9189527845979604
iVAE-cond,residA,17,0.9994,0.9993,0.9615814211357515,0.9903384886288384,47,0.676698551761131,0.9283196232367473
iVAE-cond,residA,19,0.9994,0.9988,0.9613532590125021,0.989190476507074,45,0.6747679800110817,0.9100579671101959
iVAE-cond,residA,21,0.999,0.9989,0.9611941164033836,0.9905932004199284,43,0.6706724665343314,0.9275349957408221
iVAE-cond,residA,23,0.9993,0.9995,0.9611975030716259,0.9895624151776243,41,0.6695459843110518,0.9131231860874366
iVAE-cond,residA,25,0.999,0.9992,0.9611789119498222,0.9898802349079888,39,0.6683592923708019,0.9147405556885784
iVAE-cond,residA,27,0.9993,0.9991,0.9611557156894679,0.9905514956590523,37,0.6676820009930188,0.9186794902685884
iVAE-cond,residA,29,0.9993,0.9993,0.9611567254567339,0.9905218646470517,35,0.6665760500089801,0.9071669949768523
iVAE-cond,residA,31,0.9987,0.9992,0.9608512854637298,0.9910711004687711,33,0.6658405197707249,0.9199795164112089
iVAE-cond,residA,33,0.9978,0.9989,0.960844012059111,0.9908221970730766,31,0.6610459547838641,0.9196103206929338
iVAE-cond,residA,35,0.9971,0.9981,0.9606921668881953,0.9891736411744613,29,0.6585089178217828,0.9071727609959951
iVAE-cond,residA,37,0.9939,0.9967,0.960592052910155,0.9905489016995438,27,0.6585350427806091,0.9156995257458126
iVAE-cond,residA,39,0.9862,0.9954,0.960578866455575,0.9881838664747208,25,0.6297492326626901,0.8911973869536979
iVAE-cond,residA,41,0.9528,0.9805,0.9589517494288143,0.9883598670691509,23,0.6275947986809947,0.8865604116325546
iVAE-cond,residA,43,0.9398,0.9728,0.9507811521607545,0.9848571219628537,21,0.6250931067893422,0.87977872311066
iVAE-cond,residA,45,0.8699,0.9433,0.9507630513136462,0.984463619050288,19,0.6132281924402889,0.8555920732480387
iVAE-cond,residA,47,0.7339,0.8946,0.9378877178875215,0.9763469612784382,17,0.5981590830155917,0.7999742874979655
iVAE-cond,residA,49,0.6539,0.8479,0.8757018465749669,0.9406141295640912,15,0.5454193324785784,0.7175454658508895
iVAE-cond,residA,51,0.5324,0.7591,0.8479545679439042,0.9147288296720901,13,0.5404498275502456,0.7095961047423944
iVAE-cond,residA,53,0.4426,0.6764,0.5801884483659994,0.7375748659463213,11,0.5167279803213913,0.6705476421501695
iVAE-cond,residA,55,0.3532,0.5567,0.5254813647245606,0.6139480364245524,9,0.4931563859111143,0.5873637510045964
iVAE-cond,residA,57,0.2876,0.4189,0.5205913368070393,0.5807726978655082,7,0.347530678473028,0.4100754473522119
iVAE-cond,residA,59,0.2125,0.2971,0.4450635896532381,0.48340169147584944,5,0.22220014842169356,0.24223307916575287
iVAE-cond,residA,61,0.1713,0.2389,0.21993277566026614,0.2570279814790677,3,0.21962669607559915,0.2330582016440651
iVAE-cond,residA,63,0.1567,0.165,0.19693413100852775,0.21538891147348882,1,0.02746408973031733,0.02761641246416424
