ICA-baseline sweep on RGB-MNIST (class-only; condition = digit)
digit acc: lower = better removal (chance 0.10) | b R2: higher = better preservation | rotation R2: higher = better preservation

   source method  k  n_dims  digit_acc_logreg  digit_acc_mlp  b_r2_linreg  b_r2_mlp  rot_r2_linreg  rot_r2_mlp
      Raw   none  0      64             0.947          0.979        0.959     0.990          0.660       0.913
iVAE-cond residA  1      63             1.000          1.000        0.962     0.988          0.676       0.930
iVAE-cond residA  3      61             0.999          1.000        0.962     0.989          0.676       0.919
iVAE-cond residA  5      59             0.999          0.999        0.962     0.989          0.676       0.922
iVAE-cond residA  7      57             0.999          0.999        0.962     0.990          0.676       0.917
iVAE-cond residA  9      55             0.999          0.999        0.962     0.989          0.677       0.915
iVAE-cond residA 11      53             0.999          0.999        0.962     0.990          0.677       0.915
iVAE-cond residA 13      51             0.999          0.999        0.962     0.990          0.677       0.923
iVAE-cond residA 15      49             0.999          0.999        0.962     0.991          0.677       0.919
iVAE-cond residA 17      47             0.999          0.999        0.962     0.990          0.677       0.928
iVAE-cond residA 19      45             0.999          0.999        0.961     0.989          0.675       0.910
iVAE-cond residA 21      43             0.999          0.999        0.961     0.991          0.671       0.928
iVAE-cond residA 23      41             0.999          1.000        0.961     0.990          0.670       0.913
iVAE-cond residA 25      39             0.999          0.999        0.961     0.990          0.668       0.915
iVAE-cond residA 27      37             0.999          0.999        0.961     0.991          0.668       0.919
iVAE-cond residA 29      35             0.999          0.999        0.961     0.991          0.667       0.907
iVAE-cond residA 31      33             0.999          0.999        0.961     0.991          0.666       0.920
iVAE-cond residA 33      31             0.998          0.999        0.961     0.991          0.661       0.920
iVAE-cond residA 35      29             0.997          0.998        0.961     0.989          0.659       0.907
iVAE-cond residA 37      27             0.994          0.997        0.961     0.991          0.659       0.916
iVAE-cond residA 39      25             0.986          0.995        0.961     0.988          0.630       0.891
iVAE-cond residA 41      23             0.953          0.981        0.959     0.988          0.628       0.887
iVAE-cond residA 43      21             0.940          0.973        0.951     0.985          0.625       0.880
iVAE-cond residA 45      19             0.870          0.943        0.951     0.984          0.613       0.856
iVAE-cond residA 47      17             0.734          0.895        0.938     0.976          0.598       0.800
iVAE-cond residA 49      15             0.654          0.848        0.876     0.941          0.545       0.718
iVAE-cond residA 51      13             0.532          0.759        0.848     0.915          0.540       0.710
iVAE-cond residA 53      11             0.443          0.676        0.580     0.738          0.517       0.671
iVAE-cond residA 55       9             0.353          0.557        0.525     0.614          0.493       0.587
iVAE-cond residA 57       7             0.288          0.419        0.521     0.581          0.348       0.410
iVAE-cond residA 59       5             0.212          0.297        0.445     0.483          0.222       0.242
iVAE-cond residA 61       3             0.171          0.239        0.220     0.257          0.220       0.233
iVAE-cond residA 63       1             0.157          0.165        0.197     0.215          0.027       0.028
