source,method,k,n_dims,digit_eta_max,digit_eta_mean,digit_eta_n_above,digit_eta_null,b_raw_max,b_partial_max,rot_circular_max,rot_naive_max,digit_acc_logreg,digit_acc_mlp,b_r2_linreg,b_r2_mlp,rot_r2_linreg,rot_r2_mlp
Raw,none,0,64,0.6863708263143501,0.47976580174483,64,0.030001500112509374,0.5735090467491342,0.6574833051287581,0.7067502141122675,0.6478237879581248,0.9467,0.9785,0.9593389122221618,0.9904285703918139,0.6604422629964865,0.9241177742912008
Flower-cond,embedding,0,64,0.4291998405628367,0.24976469459726153,63,0.030001500112509374,0.3914920698243165,0.4098498259949717,0.5040716571848715,0.4814137343810258,0.7484,0.7922,0.92249960487204,0.9597311257540635,0.49480123080783345,0.6108836064375773
Flower-uncond,embedding,0,64,0.5087550202961061,0.2917006434945129,63,0.030001500112509374,0.39517778208607657,0.4123621079698988,0.5065033078283262,0.48418316299018926,0.8028,0.923,0.8964239097500364,0.9699195471718022,0.5302721983759389,0.791032131439168
FastICA,residB,0,64,0.08032876024517326,0.03955422305359187,0,0.030001500112509374,0.9709908400242993,0.9710776383411338,0.49833367324070543,0.33455949553760234,0.1135,0.8584,0.9603038598137159,0.9839593208690345,0.5903314936303068,0.6988502397613181
FastICA,residA,1,63,0.7199746736121567,0.16260389741546774,20,0.030001500112509374,0.969101788503369,0.9709554448147444,0.47434381675412196,0.32188385482076987,0.9161,0.9538,0.9548482180396549,0.9828796963803619,0.6388516116187094,0.8411086136228861
FastICA,residA,7,57,0.5158394124048327,0.11591633319554379,14,0.030001500112509374,0.969101788503369,0.9709554448147444,0.47434381675412196,0.3202767811346111,0.5797,0.815,0.947744227498568,0.9745488101532191,0.3910440268536095,0.40800742518386746
FastICA,residA,13,51,0.3579377592059116,0.07693784934646007,8,0.030001500112509374,0.969101788503369,0.9709554448147444,0.47434381675412196,0.26140502204440286,0.307,0.4839,0.9403320032088506,0.9637245081619117,0.23252397453708706,0.09339585840467923
FastICA,residA,20,44,0.17266471529340555,0.04652407766214035,1,0.030001500112509374,0.969101788503369,0.9709554448147444,0.2035432524640654,0.1065276747099159,0.157,0.1835,0.9314564958830135,0.9486262380093676,0.01148915009343987,-0.16427564457297694
FastICA,residA,26,38,0.0636650983945798,0.041275149276658964,0,0.030001500112509374,0.035100644967848864,0.03505157916966039,0.03543641506808536,0.033473582615037085,0.1276,0.1417,0.0024791290802563815,0.02434586653599924,0.002074997339477913,-0.16619535644567307
FastICA,residA,32,32,0.05656308807950267,0.039744621964565345,0,0.030001500112509374,0.035100644967848864,0.03505157916966039,0.03543641506808536,0.033473582615037085,0.1242,0.1291,0.0023969103745186127,0.007493882201924373,0.0013749037443694379,-0.13746518538573937
FastICA,residA,38,26,0.05656308807950267,0.039255801560881626,0,0.030001500112509374,0.025694940125488994,0.02637092031316722,0.03543641506808536,0.033473582615037085,0.1193,0.1285,0.0007663333216686441,0.025203279218428465,0.0009904623190784,-0.105365244956664
