source,method,k,n_dims,digit_dcor,digit_null,b_dcor,b_null,rot_dcor,rot_null
Raw,none,0,64,0.6409581127853494,0.08314386639605709,0.420541915340076,0.05569137426568354,0.5581195933222212,0.06541700987127995
Flower-cond,embedding,0,64,0.3990937843799533,0.10263733260203749,0.3440817924348144,0.07269221240448985,0.413478133143752,0.08372111122797703
Flower-uncond,embedding,0,64,0.4587985963567454,0.10084261879881377,0.336304117819224,0.07089985343678994,0.40969433170640424,0.08107377315041366
FastICA,residB,0,64,0.129722459241928,0.10873126494256838,0.35089930026479615,0.07940971000433256,0.34347121497988164,0.08957474253935922
FastICA,residA,1,63,0.4347117904114646,0.10954369362961816,0.3402829237090498,0.07899497885207171,0.35696079611575526,0.0899144599740883
FastICA,residA,7,57,0.30400001019619427,0.10714465748301173,0.35011100189132643,0.07800084628115625,0.29278219669779915,0.08804902482840121
FastICA,residA,13,51,0.1981756223176765,0.10450424036262204,0.3616325138138854,0.07652960743157507,0.23897890034948407,0.08593960365693289
FastICA,residA,20,44,0.11788582622958449,0.10208389164888831,0.379771717856635,0.07467671214411173,0.10633898242470749,0.08294336298178856
FastICA,residA,26,38,0.11051234631683346,0.09978107087086445,0.1378201397789208,0.07264049921785458,0.08425739092692647,0.08113863822324507
FastICA,residA,32,32,0.10589452618280208,0.09764014310995385,0.13330164873332126,0.06850606426840505,0.08052938395927046,0.0777468574355413
FastICA,residA,38,26,0.10174510026186853,0.09281554588150011,0.12705638244342943,0.0659977994546362,0.07674695095308408,0.07274055865932963
FastICA,residA,44,20,0.09401126101822228,0.08738088218626684,0.11762570929134353,0.06456034403230673,0.06885171725458869,0.06820418398183888
FastICA,residA,51,13,0.08169074463226615,0.07614852826177225,0.1023388951333732,0.05581999765295514,0.05970508185306262,0.06009660018307106
FastICA,residA,57,7,0.06819300205953198,0.06411211085513058,0.08562001623315997,0.04987256380927128,0.051166642571606746,0.05160388941967609
FastICA,residA,63,1,0.04463358734341258,0.03411067579127688,0.05880413878300586,0.027422037077764083,0.03271682816318396,0.02347515421116295
iVAE-cond,residB,0,64,0.1742771750565981,0.08197976761099146,0.47200318564668176,0.05873071704306506,0.5313770313576949,0.06810366261905265
iVAE-cond,residA,1,63,0.6902179120447859,0.08194180804701497,0.38709520713252527,0.055121494361353156,0.49476817088429975,0.06501635255749039
iVAE-cond,residA,7,57,0.6901011797225526,0.08193192760807443,0.3871217498975086,0.05511413464931748,0.4947960459394087,0.06500581131299568
iVAE-cond,residA,13,51,0.6900982787657124,0.08194928021628167,0.38713050901410645,0.055127739827585065,0.4948064263399461,0.06502025441800108
iVAE-cond,residA,20,44,0.6900892282263807,0.08195204042089785,0.38713279785132393,0.05512991676401261,0.49480852633654665,0.06502240236789202
iVAE-cond,residA,26,38,0.6566079745586823,0.08192254873184848,0.3968741204198855,0.055254165861728766,0.5008967657607846,0.0643276447910188
iVAE-cond,residA,32,32,0.6566074222331898,0.0819273482058669,0.39687535819138514,0.05525790650981539,0.5008976427604648,0.06433168165561512
iVAE-cond,residA,38,26,0.6151058591543103,0.07890575047193517,0.4112259220648112,0.0544462572416645,0.5044735943883513,0.06320467411361438
iVAE-cond,residA,44,20,0.5216752138735365,0.07619358353974037,0.4361905460723795,0.053079484342314694,0.5243624291568661,0.06193094668679954
iVAE-cond,residA,51,13,0.4224986300908086,0.07113656933746702,0.45932799922202594,0.05057535600188093,0.532506578340242,0.0597519874044231
iVAE-cond,residA,57,7,0.28739890358008763,0.06075923131748746,0.4297117162927323,0.042013753493860204,0.47174123106518684,0.0514638575526246
iVAE-cond,residA,63,1,0.13720585974423624,0.0378909248941324,0.4357064675803109,0.022309292431757857,0.15244026823972673,0.031101275733381267
iVAE-fair,residB,0,64,0.3625634768254031,0.034472110643067266,0.2384021745544922,0.026076449866857667,0.3824925901003926,0.031072258624450014
iVAE-fair,residA,1,63,0.30313172957889334,0.0306998781513211,0.2256415085621379,0.02388088941491387,0.3615300784151925,0.029098962550027106
iVAE-fair,residA,7,57,0.3014065282229416,0.03049645448608264,0.2262653969424552,0.02370474074830307,0.36255017243019094,0.029038320152786533
iVAE-fair,residA,13,51,0.29904940588327317,0.030065870520953022,0.22651992402892104,0.023561809622568264,0.3629375245609692,0.028898811451507078
iVAE-fair,residA,20,44,0.29713630081789794,0.02958481306800193,0.22732310548257392,0.023211195273376683,0.3670207810992025,0.028954088349669376
iVAE-fair,residA,26,38,0.2967993353579712,0.029692254580686635,0.22966024251279915,0.023107845570408472,0.37148780629737205,0.029269730250734916
iVAE-fair,residA,32,32,0.29690700282343835,0.029762842806307203,0.23130240797372328,0.02300531193687176,0.37492593797695534,0.029402981345091925
iVAE-fair,residA,38,26,0.29566706218470606,0.029323504461359198,0.2329445242563697,0.02270449494594607,0.3810844689506406,0.029658802910537303
iVAE-fair,residA,44,20,0.29378988590983457,0.029151322270143547,0.23361724786370305,0.02263577629087807,0.38455439889508336,0.02987107510817981
iVAE-fair,residA,51,13,0.29857771109648557,0.0299359948980672,0.23801316444642384,0.02318819472581588,0.39242937823334706,0.03047904154802832
iVAE-fair,residA,57,7,0.3014459732733228,0.032542513073717215,0.24583626183279084,0.023464504837766326,0.3943088647569782,0.03078232336592019
iVAE-fair,residA,63,1,0.2380978926004855,0.027775005789345407,0.23961413176090735,0.018606259235263024,0.493436467593073,0.02563994737871468
