residualiser,iteration,digit_acc_logreg,digit_acc_mlp,b_r2_mlp,rot_r2_mlp,mean_preserv_mlp
linear,0,0.9467,0.9785,0.9904285703918139,0.9241177742912008,0.9572731723415073
linear,1,0.1135,0.8937,0.9891917293572905,0.7906838227591199,0.8899377760582052
linear,2,0.1135,0.893,0.9883864969619301,0.7899104029467758,0.8891484499543529
linear,3,0.1135,0.8967,0.9883314449328529,0.7959856735217596,0.8921585592273062
linear,4,0.1135,0.8952,0.9884544927746026,0.7966697849275106,0.8925621388510566
linear,5,0.1135,0.8965,0.988637443215062,0.8047670141985955,0.8967022287068287
mlp,0,0.9467,0.9785,0.9904285703918139,0.9241177742912008,0.9572731723415073
mlp,1,0.9451,0.9648,0.988160974099431,0.8088838591750651,0.8985224166372481
mlp,2,0.9876,0.9741,0.9894771224496807,0.8169858774269066,0.9032314999382937
mlp,3,0.9483,0.9682,0.9890926140975526,0.8096783882703312,0.8993855011839419
mlp,4,0.9459,0.967,0.9893266197173517,0.8178471150170645,0.9035868673672081
mlp,5,0.939,0.9594,0.9888638163887657,0.7944700213183818,0.8916669188535737
