source,method,k,digit_acc_logreg,digit_acc_mlp,b_r2_linreg,b_r2_mlp,n_dims
Raw,none,0,0.9467,0.9785,0.9593389122221618,0.9904285703918139,64
FastICA,residB,0,0.1135,0.8584,0.9603038598137159,0.9839593208690345,64
FastICA,residA,1,0.9161,0.9538,0.9548482180396549,0.9828796963803619,63
FastICA,residA,7,0.5797,0.815,0.947744227498568,0.9745488101532191,57
FastICA,residA,13,0.307,0.4839,0.9403320032088506,0.9637245081619117,51
FastICA,residA,20,0.157,0.1835,0.9314564958830135,0.9486262380093676,44
FastICA,residA,26,0.1276,0.1417,0.0024791290802563815,0.02434586653599924,38
FastICA,residA,32,0.1242,0.1291,0.0023969103745186127,0.007493882201924373,32
FastICA,residA,38,0.1193,0.1285,0.0007663333216686441,0.025203279218428465,26
FastICA,residA,44,0.1191,0.1229,0.0007194551336047184,0.028534762498621413,20
FastICA,residA,51,0.1121,0.1163,0.00021700285389525398,0.042309310441691395,13
FastICA,residA,57,0.1121,0.1116,3.285755535298307e-05,0.03346578698397851,7
FastICA,residA,63,0.1135,0.1136,6.56510312535552e-05,-0.00012052529683992397,1
iVAE-cond,residB,0,0.5224,0.9991,0.960835908702242,0.9895886681234006,64
iVAE-cond,residA,1,0.9584,0.9944,0.9606391203923249,0.9913341084338225,63
iVAE-cond,residA,7,0.9502,0.9931,0.9606492990177452,0.9914098230251774,57
iVAE-cond,residA,13,0.9489,0.9921,0.9606378673165832,0.9898927082117914,51
iVAE-cond,residA,20,0.9478,0.9922,0.9605702384170858,0.9912374681054369,44
iVAE-cond,residA,26,0.9155,0.9875,0.9600248008685379,0.991762378263851,38
iVAE-cond,residA,32,0.9157,0.9834,0.960024754219484,0.9894890847668103,32
iVAE-cond,residA,38,0.8611,0.9668,0.9594410815017764,0.989306478023718,26
iVAE-cond,residA,44,0.7155,0.9339,0.9243855637244851,0.9715340193037139,20
iVAE-cond,residA,51,0.5322,0.7632,0.8479545591312829,0.916343525751013,13
iVAE-cond,residA,57,0.2876,0.4164,0.5205913376712725,0.5877157032992839,7
iVAE-cond,residA,63,0.1569,0.1638,0.19693413147341654,0.21545347689720507,1
iVAE-fair,residB,0,1.0,1.0,0.5168706267424926,0.7047685242444035,64
iVAE-fair,residA,1,0.8471,0.8813,0.48905955633036957,0.6954948320938766,63
iVAE-fair,residA,7,0.8464,0.8811,0.49636118685585473,0.6639850014182707,57
iVAE-fair,residA,13,0.8416,0.8686,0.44003759082491,0.16528709193277236,51
iVAE-fair,residA,20,0.83,0.8791,0.4590424911568969,0.5703772957884856,44
iVAE-fair,residA,26,0.8206,0.8711,0.425290421616522,0.6300062105909063,38
iVAE-fair,residA,32,0.8109,0.8706,0.4200341783584488,0.6459872170813075,32
iVAE-fair,residA,38,0.7944,0.8669,0.4135253791764578,0.628403260403875,26
iVAE-fair,residA,44,0.7558,0.843,0.41409709441344467,0.558923696973097,20
iVAE-fair,residA,51,0.7038,0.7892,0.29403613744585655,0.32564914403075096,13
iVAE-fair,residA,57,0.5887,0.6624,0.13569042861725544,0.16929041277565138,7
iVAE-fair,residA,63,0.1507,0.2046,0.0633751894707053,0.06783380701078756,1
