ICA-baseline sweep on RGB-MNIST (class-only; condition = digit)
digit acc: lower = better removal (chance 0.10) | b R2: higher = better preservation

   source method  k  n_dims  digit_acc_logreg  digit_acc_mlp  b_r2_linreg  b_r2_mlp
      Raw   none  0      64             0.947          0.979        0.959     0.990
  FastICA residB  0      64             0.114          0.858        0.960     0.984
  FastICA residA  1      63             0.916          0.954        0.955     0.983
  FastICA residA  7      57             0.580          0.815        0.948     0.975
  FastICA residA 13      51             0.307          0.484        0.940     0.964
  FastICA residA 20      44             0.157          0.183        0.931     0.949
  FastICA residA 26      38             0.128          0.142        0.002     0.024
  FastICA residA 32      32             0.124          0.129        0.002     0.007
  FastICA residA 38      26             0.119          0.129        0.001     0.025
  FastICA residA 44      20             0.119          0.123        0.001     0.029
  FastICA residA 51      13             0.112          0.116        0.000     0.042
  FastICA residA 57       7             0.112          0.112        0.000     0.033
  FastICA residA 63       1             0.114          0.114        0.000    -0.000
iVAE-cond residB  0      64             0.522          0.999        0.961     0.990
iVAE-cond residA  1      63             0.958          0.994        0.961     0.991
iVAE-cond residA  7      57             0.950          0.993        0.961     0.991
iVAE-cond residA 13      51             0.949          0.992        0.961     0.990
iVAE-cond residA 20      44             0.948          0.992        0.961     0.991
iVAE-cond residA 26      38             0.915          0.988        0.960     0.992
iVAE-cond residA 32      32             0.916          0.983        0.960     0.989
iVAE-cond residA 38      26             0.861          0.967        0.959     0.989
iVAE-cond residA 44      20             0.716          0.934        0.924     0.972
iVAE-cond residA 51      13             0.532          0.763        0.848     0.916
iVAE-cond residA 57       7             0.288          0.416        0.521     0.588
iVAE-cond residA 63       1             0.157          0.164        0.197     0.215
iVAE-fair residB  0      64             1.000          1.000        0.517     0.705
iVAE-fair residA  1      63             0.847          0.881        0.489     0.695
iVAE-fair residA  7      57             0.846          0.881        0.496     0.664
iVAE-fair residA 13      51             0.842          0.869        0.440     0.165
iVAE-fair residA 20      44             0.830          0.879        0.459     0.570
iVAE-fair residA 26      38             0.821          0.871        0.425     0.630
iVAE-fair residA 32      32             0.811          0.871        0.420     0.646
iVAE-fair residA 38      26             0.794          0.867        0.414     0.628
iVAE-fair residA 44      20             0.756          0.843        0.414     0.559
iVAE-fair residA 51      13             0.704          0.789        0.294     0.326
iVAE-fair residA 57       7             0.589          0.662        0.136     0.169
iVAE-fair residA 63       1             0.151          0.205        0.063     0.068
