source,method,k,digit_acc_logreg,digit_acc_mlp,b_r2_linreg,b_r2_mlp,n_dims
Raw,none,0,0.9467,0.9785,0.9593389122221618,0.9904285703918139,64
iVAE-fair,residB,0,1.0,0.9995,0.9311041442095656,0.909850886476711,64
iVAE-fair,residA,1,0.9394,0.9706,0.929836144147844,0.9005447002738772,63
iVAE-fair,residA,3,0.9395,0.9671,0.9298908629404797,0.9414683534333477,61
iVAE-fair,residA,5,0.9393,0.9653,0.9297875348015636,0.6713008065652224,59
iVAE-fair,residA,7,0.9389,0.9668,0.9295939289029033,0.9220268491065439,57
iVAE-fair,residA,9,0.9391,0.967,0.9295203117126353,0.9443609595567752,55
iVAE-fair,residA,11,0.9379,0.9669,0.9297799212239446,0.9518000044045344,53
iVAE-fair,residA,13,0.9378,0.9681,0.9296754623967511,0.934714817924999,51
iVAE-fair,residA,15,0.9383,0.9688,0.9297283629227405,0.925381273390676,49
iVAE-fair,residA,17,0.9376,0.9651,0.9295278974907343,0.9289578171173947,47
iVAE-fair,residA,19,0.9378,0.9679,0.9297245642356542,0.9463086060653128,45
iVAE-fair,residA,21,0.9367,0.9684,0.9290110572342489,0.9417489704416355,43
iVAE-fair,residA,23,0.9378,0.9689,0.9290258281776906,0.9186088685856577,41
iVAE-fair,residA,25,0.9362,0.9648,0.9289781056161608,0.9246130297757705,39
iVAE-fair,residA,27,0.9365,0.9678,0.9286070576091873,0.9536412333174482,37
iVAE-fair,residA,29,0.9363,0.9664,0.9279545480139806,0.9487026893829531,35
iVAE-fair,residA,31,0.9359,0.9679,0.9259069647993512,0.9468267181006442,33
iVAE-fair,residA,33,0.9342,0.9649,0.9255028710905184,0.9460532388175545,31
iVAE-fair,residA,35,0.9339,0.9635,0.9169966720080014,0.94095403565207,29
iVAE-fair,residA,37,0.9342,0.9631,0.9165244644074166,0.9303587206126909,27
iVAE-fair,residA,39,0.9318,0.9616,0.8915103231837458,0.9147169916392287,25
iVAE-fair,residA,41,0.9177,0.9541,0.8297476424450749,0.8890967338418123,23
iVAE-fair,residA,43,0.9038,0.9463,0.7696362544786293,0.8550601084736267,21
iVAE-fair,residA,45,0.8786,0.9313,0.6981775549659994,0.8030315778026439,19
iVAE-fair,residA,47,0.8467,0.908,0.5380418192607734,0.66432997386405,17
iVAE-fair,residA,49,0.7974,0.878,0.454989130666158,0.6081906608363272,15
iVAE-fair,residA,51,0.7467,0.8288,0.3583457332896832,0.5334048787819603,13
iVAE-fair,residA,53,0.6387,0.7294,0.32126299456244856,0.4397334702407162,11
iVAE-fair,residA,55,0.5559,0.6352,0.24358913050411257,0.35724356912498556,9
iVAE-fair,residA,57,0.4451,0.5225,0.17146054935058197,0.22179308637540718,7
iVAE-fair,residA,59,0.3627,0.4207,0.14735379822323202,0.15649827009680095,5
iVAE-fair,residA,61,0.2612,0.2804,0.019811069206412624,-0.045808893189714484,3
iVAE-fair,residA,63,0.1601,0.1607,-0.0002183329814529067,-0.1035034246090003,1
