source,method,k,digit_acc_logreg,digit_acc_mlp,b_r2_linreg,b_r2_mlp,n_dims,rot_r2_linreg,rot_r2_mlp
Raw,none,0,0.9467,0.9785,0.9593389122221618,0.9904285703918139,64,0.6604422629964865,0.9241177742912008
FastICA,residB,0,0.1135,0.8584,0.9603038598137159,0.9839593208690345,64,0.5903314936303068,0.6988502397613181
FastICA,residA,1,0.9161,0.9538,0.9548482180396549,0.9828796963803619,63,0.6388516116187094,0.8411086136228861
FastICA,residA,3,0.7873,0.9121,0.9532113013142659,0.982582090578006,61,0.5676761427959474,0.7018853265314131
FastICA,residA,5,0.6917,0.8685,0.948999063078556,0.9757964568699139,59,0.5341366526632056,0.5485797978436504
FastICA,residA,7,0.5797,0.815,0.947744227498568,0.9745488101532191,57,0.3910440268536095,0.40800742518386746
FastICA,residA,9,0.4775,0.7143,0.9443469308922698,0.9657792408603261,55,0.37833929626323615,0.38327534665858665
FastICA,residA,11,0.3727,0.5868,0.9408621398265855,0.9671587646785882,53,0.36264827622459017,0.3428129109118989
FastICA,residA,13,0.307,0.4839,0.9403320032088506,0.9637245081619117,51,0.23252397453708706,0.09339585840467923
FastICA,residA,15,0.2536,0.3727,0.9381206957141381,0.963454881212378,49,0.05948745442345704,-0.08901479721037187
FastICA,residA,17,0.2003,0.266,0.9333270357099501,0.9563109186962209,47,0.016669138151847118,-0.1641649337091411
FastICA,residA,19,0.1652,0.1901,0.9331440818291981,0.95302350374406,45,0.013976691421231924,-0.1749050072396401
FastICA,residA,21,0.1376,0.1554,0.930887459149401,0.9484008874628016,43,0.0020245669162071156,-0.16904947253772207
FastICA,residA,23,0.1312,0.1438,0.00493140603329989,0.08308222518991348,41,0.001896480292418512,-0.15794906590775692
FastICA,residA,25,0.1292,0.1401,0.0024797128552723757,0.0013631917238652314,39,0.002023737662617653,-0.14327653373281168
FastICA,residA,27,0.1257,0.1352,0.0025394190282117535,-0.011627080608839435,37,0.0018310944408472807,-0.15527200242452932
FastICA,residA,29,0.1221,0.1316,0.002594531300993408,0.019719695803175785,35,0.0015992544293785826,-0.14297349841586793
FastICA,residA,31,0.1218,0.1349,0.0025085371415408675,0.035434274803566757,33,0.0014775234019188677,-0.14621186951475273
FastICA,residA,33,0.1227,0.1276,0.0014686157165605396,0.0019497534536281336,31,0.0015452491575832505,-0.13272788786891
FastICA,residA,35,0.1208,0.1277,0.0007897172047541812,0.02525165897245174,29,0.001291024953529618,-0.11702000619060238
FastICA,residA,37,0.1156,0.1267,0.0008121620446389644,0.03443782264976514,27,0.0009886362350353117,-0.12601280421053374
FastICA,residA,39,0.1193,0.1248,0.0007550463895564796,0.03228138272893577,25,0.0015534565629214958,-0.10194298988405426
FastICA,residA,41,0.1162,0.1233,0.0008043501456866942,0.02719477400414827,23,0.0012947722800117356,-0.10136705584356998
FastICA,residA,43,0.1169,0.1245,0.0008643675232012926,0.03713674231611208,21,0.0010337174076289202,-0.09406464152072025
FastICA,residA,45,0.1155,0.1191,0.0002662968069866434,0.044734605838646635,19,0.0009272810288936117,-0.08134979445244106
FastICA,residA,47,0.1135,0.12,0.000520209732466359,0.05387031416249888,17,0.0009762071766122871,-0.06747547189286096
FastICA,residA,49,0.1104,0.1161,0.0004988405172007271,0.04550689102821959,15,0.00045932199984521915,-0.05054917599801034
FastICA,residA,51,0.1121,0.1163,0.00021700285389525398,0.042309310441691395,13,0.0002914622545023837,-0.05457137230991016
FastICA,residA,53,0.1132,0.1168,0.0005294729524616404,0.04113303552194714,11,6.713081388054487e-05,-0.043095717745927686
FastICA,residA,55,0.1122,0.1099,5.0142921431350906e-05,0.037976593687394034,9,-0.0002794311840146335,-0.03415078425569362
FastICA,residA,57,0.1121,0.1116,3.285755535298307e-05,0.03346578698397851,7,-0.0004654720498349363,-0.016785432433109815
FastICA,residA,59,0.1133,0.1074,0.00017153491452592817,0.02651837136629287,5,-0.0005027716231083001,-0.004388130092042086
FastICA,residA,61,0.1135,0.111,4.5202589282644645e-05,0.00957563381326254,3,-0.0010846206698635896,0.002248648087504801
FastICA,residA,63,0.1135,0.1136,6.56510312535552e-05,-0.00012052529683992397,1,-0.0010977346506477748,-0.00021709322198693037
