source,method,k,digit_acc_logreg,digit_acc_mlp,b_r2_linreg,b_r2_mlp,n_dims,rot_r2_linreg,rot_r2_mlp
Raw,none,0,0.9467,0.9785,0.9593389122221618,0.9904285703918139,64,0.6604422629964865,0.9241177742912008
iVAE-cond,residB,0,0.5224,0.9991,0.960835908702242,0.9895886681234006,64,0.5947456342048598,0.9042554399434815
iVAE-cond,residA,1,0.9584,0.9944,0.9606391203923249,0.9913341084338225,63,0.6586290407335456,0.9190392945011855
iVAE-cond,residA,3,0.9538,0.9944,0.960640637524223,0.9919460471933979,61,0.6585585758772314,0.9090005286399293
iVAE-cond,residA,5,0.9512,0.9938,0.9606407403629551,0.992285823187575,59,0.6585670663107456,0.919996287538577
iVAE-cond,residA,7,0.9502,0.9931,0.9606492990177452,0.9914098230251774,57,0.6585347164364591,0.9098632038179163
iVAE-cond,residA,9,0.9503,0.9918,0.9606505782299078,0.9910257805439878,55,0.6585197578986832,0.9176996941326246
iVAE-cond,residA,11,0.9491,0.9939,0.9606453273932366,0.9922912095204475,53,0.6585347455524649,0.9186345495208545
iVAE-cond,residA,13,0.9489,0.9921,0.9606378673165832,0.9898927082117914,51,0.6585533478962999,0.9140781799752437
iVAE-cond,residA,15,0.9485,0.9915,0.9605701111784009,0.9919965829656386,49,0.6584824950419577,0.9203212862552168
iVAE-cond,residA,17,0.9481,0.9926,0.9605701467324895,0.9915412847453121,47,0.6584826239800878,0.9191421900528989
iVAE-cond,residA,19,0.9475,0.9924,0.9605702546357544,0.9913442283826095,45,0.6584825967855616,0.918221384180326
iVAE-cond,residA,21,0.9177,0.9913,0.9600246210063662,0.9915273904644658,43,0.6510365100522466,0.9165730021645764
iVAE-cond,residA,23,0.9171,0.9903,0.9600245846317205,0.9904432008932084,41,0.6510365168398182,0.9108533688885495
iVAE-cond,residA,25,0.9154,0.988,0.9600247971232411,0.9918189234108328,39,0.6510359295799958,0.9042568720658928
iVAE-cond,residA,27,0.9155,0.9854,0.9600248164348076,0.9913207934993035,37,0.6510358828053515,0.9245630657099262
iVAE-cond,residA,29,0.9157,0.9852,0.9600247728555882,0.9909788460059161,35,0.6510359194047575,0.9152961601161231
iVAE-cond,residA,31,0.9157,0.9845,0.9600247596249797,0.9910968808311534,33,0.6510359373517511,0.9170112355257041
iVAE-cond,residA,33,0.9157,0.9796,0.960024753581231,0.991195445501545,31,0.6510358572973095,0.9182236018848283
iVAE-cond,residA,35,0.8889,0.974,0.9595979098624957,0.989755552211756,29,0.6510554696708987,0.9164190064989665
iVAE-cond,residA,37,0.8889,0.9689,0.9595979220805819,0.9906257280391563,27,0.6510557668323181,0.9260623974144687
iVAE-cond,residA,39,0.8611,0.9629,0.9594410719071528,0.9888895926315827,25,0.6252724408814648,0.873633385265737
iVAE-cond,residA,41,0.8209,0.9457,0.9579654078633979,0.9886998276322884,23,0.6140074890494757,0.889658205149838
iVAE-cond,residA,43,0.7526,0.9365,0.9243859439875715,0.9722824045698748,21,0.6087493058726524,0.8429861335091885
iVAE-cond,residA,45,0.6728,0.9244,0.9243095401546514,0.9687530211934356,19,0.582130790856035,0.8314046737198217
iVAE-cond,residA,47,0.6209,0.8739,0.9040424155790885,0.9595105556451299,17,0.5767605893971398,0.8038212243737306
iVAE-cond,residA,49,0.5746,0.8286,0.8630907208148546,0.9287087504481959,15,0.5403661274360243,0.7310277410750331
iVAE-cond,residA,51,0.5322,0.7632,0.8479545591312829,0.916343525751013,13,0.5404498191624427,0.7059291978424214
iVAE-cond,residA,53,0.4425,0.6796,0.5801884504602488,0.736382383930158,11,0.5167279629678385,0.6662684439328725
iVAE-cond,residA,55,0.353,0.5557,0.5254813652546433,0.614604985932985,9,0.4931564010990841,0.5888538752020926
iVAE-cond,residA,57,0.2876,0.4164,0.5205913376712725,0.5877157032992839,7,0.34753068423314093,0.41330842101332543
iVAE-cond,residA,59,0.2121,0.2984,0.4450635908636541,0.4865406292931266,5,0.22220015531822968,0.24216029933096261
iVAE-cond,residA,61,0.1713,0.2396,0.21993277834532476,0.25791185006255724,3,0.2196266982347309,0.23407189368277703
iVAE-cond,residA,63,0.1569,0.1638,0.19693413147341654,0.21545347689720507,1,0.02746408936937239,0.028296336887643103
