source,method,k,digit_acc_logreg,digit_acc_mlp,b_r2_linreg,b_r2_mlp,n_dims
Raw,none,0,0.9467,0.9788,0.9593389088005404,0.9904506075385203,64
FastICA,residA,1,0.9161,0.9557,0.9548482067501539,0.9828877774948015,63
FastICA,residA,7,0.5797,0.8138,0.9477442233869355,0.9745687278580866,57
FastICA,residA,13,0.307,0.4813,0.9403320047471793,0.9637152649684763,51
FastICA,residA,20,0.157,0.1775,0.9314564966519783,0.9486689418624668,44
FastICA,residA,26,0.1276,0.1367,0.0024791316936574326,0.01885718094610145,38
FastICA,residA,32,0.1242,0.129,0.002396909133511649,0.0244522163918236,32
FastICA,residA,38,0.1193,0.1253,0.0007663377374513836,0.025579643976999966,26
FastICA,residA,44,0.1191,0.1211,0.0007194550309628234,0.03534088351764719,20
FastICA,residA,51,0.1121,0.1182,0.0002170043561933177,0.04313654590200544,13
FastICA,residA,57,0.1121,0.108,3.2856962914551424e-05,0.03272890584096655,7
FastICA,residA,63,0.1135,0.1107,6.565202487618382e-05,0.0006226821620237688,1
iVAE-cond,residA,1,0.9995,0.9995,0.9615337975256681,0.9882194831592694,63
iVAE-cond,residA,7,0.9994,0.9994,0.9615860627583127,0.9899205378457604,57
iVAE-cond,residA,13,0.9993,0.9991,0.96166477566066,0.9899675682942687,51
iVAE-cond,residA,20,0.9993,0.9994,0.9612045085231997,0.9903769791651885,44
iVAE-cond,residA,26,0.9994,0.9997,0.9611736670049453,0.9910345088563635,38
iVAE-cond,residA,32,0.9983,0.9986,0.9608478417782972,0.9893560129889246,32
iVAE-cond,residA,38,0.9916,0.9964,0.9605780968566503,0.989589925997689,26
iVAE-cond,residA,44,0.8828,0.9556,0.9507839944222158,0.9849949267800855,20
iVAE-cond,residA,51,0.5324,0.7591,0.8479545679439042,0.9147288296720901,13
iVAE-cond,residA,57,0.2876,0.4189,0.5205913368070393,0.5807726978655082,7
iVAE-cond,residA,63,0.1567,0.165,0.19693413100852775,0.21538891147348882,1
iVAE-fair,residA,1,0.8283,0.8884,0.49932339467990494,0.7217118664648186,63
iVAE-fair,residA,7,0.8252,0.88,0.4799890128684189,0.6730272698963572,57
iVAE-fair,residA,13,0.8179,0.883,0.44912625073933443,0.7050301926655547,51
iVAE-fair,residA,20,0.8057,0.8763,0.48379607096264277,0.6806064522716109,44
iVAE-fair,residA,26,0.8007,0.8715,0.477030525652161,0.6857712312924502,38
iVAE-fair,residA,32,0.7942,0.8753,0.435004807221158,0.6439737688654511,32
iVAE-fair,residA,38,0.7794,0.8594,0.4203383855190188,0.6506135160457353,26
iVAE-fair,residA,44,0.7438,0.845,0.4246712673548454,0.573317596582456,20
iVAE-fair,residA,51,0.6981,0.7917,0.2940361750030952,0.40909117134101314,13
iVAE-fair,residA,57,0.5872,0.6664,0.13569041662380577,0.20995590589685875,7
iVAE-fair,residA,63,0.1507,0.2072,0.06337518840570378,0.06275038309132863,1
