representation,component,drop_rank,rho_z,eta_z,rho_logM*,eta_logM*,rho_logSFR,eta_logSFR,rho_A_v,eta_A_v
Raw (Spender),6,0,0.4877060999817528,0.5171855206434206,0.6632408651662041,0.6759624061505716,0.25261226301579,0.3117211783558034,0.06984948838900402,0.147123370750947
Raw (Spender),8,1,0.4601135896233582,0.4998429795740226,0.7854082281450948,0.7919152533169422,0.22464716931810164,0.27821406781358377,0.07732756311493832,0.16318296776508173
Raw (Spender),0,2,0.33869151651995677,0.37525395199636685,0.5850126961483103,0.5950127696006432,0.4354867699677253,0.44635666460492657,0.23332118061872234,0.2655546822360861
Raw (Spender),2,3,0.30616799732372546,0.4009808491321541,0.598197469933505,0.6275202642645421,0.047392388698969334,0.2024171743140126,0.04848019152363131,0.08425786491344801
Raw (Spender),4,4,0.2721353373730898,0.3188293118641763,0.5711748353167946,0.583788923571488,0.2643997794400353,0.2740467498718355,0.08614176329498305,0.14136727364346355
Raw (Spender),1,5,0.19069454228841207,0.20817754347833994,0.2179415470229711,0.2391555457198261,0.24284082141323535,0.25763693053758285,0.21170814848232078,0.23631579523273494
Raw (Spender),5,6,0.18208530358872257,0.26251912523826254,0.5059497229907363,0.5317899615637894,0.29453573181475073,0.2999616638466388,0.030752393878903717,0.11165301824970923
Raw (Spender),3,7,0.06531468448371482,0.23538510187392386,0.21443091627992578,0.40899089563225777,0.24872653250468796,0.28894665216015286,0.45136293732957855,0.4549783745372389
Raw (Spender),9,8,0.02349946285532785,0.19632679393970237,0.016918957588093423,0.28634164975558046,0.4853919930595704,0.5208798836367244,0.44431668919088063,0.4625742892593832
Raw (Spender),7,9,0.0005192103475265612,0.058661178261190744,0.03718889103691646,0.08839177765991257,0.5219277469389084,0.5244128270940156,0.5539193391630787,0.5502104930479482
FastICA,7,0,0.36298974804858075,0.36983912211060405,0.5902299196420022,0.6128535568604462,0.5624928045390737,0.5876563667806011,0.41255675862376673,0.4514651456247307
FastICA,4,1,0.3626698424612782,0.3787431443505537,0.30495925069808344,0.31292440202808064,0.10205455424861373,0.19175286013567533,0.09347415909646961,0.11095308233290715
FastICA,3,2,0.29191024580184327,0.31724306860275686,0.2846129323747287,0.28559671891247407,0.40417372166589804,0.4682084826156525,0.35062746899559905,0.35366667588256523
FastICA,5,3,0.16327593542585356,0.2525867103872349,0.3096393988248472,0.3631891176271804,0.08877973030941463,0.19081598775005204,0.12927805565722966,0.13826632858058285
FastICA,1,4,0.11376639625007136,0.14466825429332997,0.09980578354174907,0.11290858010526943,0.003905570701374494,0.056584628575822235,0.010972485375244912,0.05743950184941768
FastICA,9,5,0.09224615187854261,0.1438913252546026,0.011255617520445453,0.184416678106601,0.12727059177683434,0.16012261996756946,0.1325311104380651,0.1467579332564574
FastICA,2,6,0.0885521017377007,0.20572444245691546,0.05137012971753525,0.2414088995772782,0.035934996668046795,0.10726572803342838,0.058487750040951886,0.09820971534009282
FastICA,0,7,0.04037557007941254,0.05578273107938572,0.027390848618505485,0.0631242571183866,0.04019943835896257,0.06471014993607851,0.007760682334663008,0.03684353069948638
FastICA,6,8,0.003634739058516241,0.1178832993625078,0.0964617879272689,0.20490139011859498,0.18110678162495775,0.20309353502872304,0.11482108802483992,0.13158468406228066
FastICA,8,9,0.0011414600627593027,0.07814322558388925,0.21826216309179777,0.24418263665329745,0.01689492619270271,0.130134423257355,0.3709180792327876,0.3696466992136495
iVAE (cond-encoder),3,0,0.5016868833406913,0.521617420758842,0.4997430735882491,0.5225847852264156,0.20476966804200772,0.32666691007407833,0.04571584721712956,0.09075138691797559
iVAE (cond-encoder),0,1,0.45718247036688603,0.47843370847673045,0.7486906668755433,0.7515092303232754,0.4039258976673687,0.435391342562189,0.12302766272899572,0.20136350047286675
iVAE (cond-encoder),5,2,0.397256210093518,0.4163934607629073,0.3753249455452195,0.3814143905341145,0.08205078899003282,0.18759792866864788,0.0106280241033816,0.04779134902303033
iVAE (cond-encoder),2,3,0.32967780639968913,0.3320646144361942,0.17425360932988734,0.20569797262312262,0.08786124291209309,0.13852604507658262,0.10803209699654304,0.11555303075026502
iVAE (cond-encoder),1,4,0.18947292233361443,0.23173153426898124,0.13045538489269007,0.15760011614591604,0.026909916034889843,0.12045354953783619,0.03802042342474548,0.054971098309290006
iVAE (cond-encoder),8,5,0.12984565880371418,0.1650207540354316,0.10562644810584058,0.16566582363449123,0.15656102909069564,0.16400783134322702,0.1679321235847275,0.17554341557004147
iVAE (cond-encoder),6,6,0.10090204682283858,0.1432120189370717,0.049229863479293874,0.06974858782726145,0.017784885897240914,0.046621120823750285,0.0030976443000033647,0.035806497159096555
iVAE (cond-encoder),9,7,0.08416905703902759,0.1218961188235789,0.08168337523057867,0.13815721043442905,0.03801037312801595,0.07911017986495796,0.00811512959071394,0.029024344291728236
iVAE (cond-encoder),4,8,0.05285454255867759,0.1676933569397882,0.07805383758808034,0.20726560256254026,0.1131572927432705,0.20171681515477735,0.04331559612690766,0.12100156351663897
iVAE (cond-encoder),7,9,0.03723360643069799,0.1545249683276968,0.11701325807868743,0.24033104194627114,0.4919751119606224,0.5018443961132547,0.6081297759422032,0.6118340478633435
Flower (cond seed),9,0,0.06235873601254302,0.09634529556685803,0.015473863923917003,0.08456028580213178,0.32006303081720416,0.33890086794924257,0.30662104213508107,0.3310735635372943
Flower (cond seed),4,1,0.047349360313622885,0.09404027147699097,0.06700263204021419,0.09102674192049542,0.1612670658996646,0.17165837395871944,0.07133121140781666,0.08977003576545249
Flower (cond seed),0,2,0.04424103646145477,0.0754594157673429,0.164843874745916,0.17488083434766694,0.32706110402108235,0.3322750764520443,0.18922073491374172,0.2034471287285226
Flower (cond seed),5,3,0.03917955729263878,0.061895090636488924,0.1550251204422437,0.16671184505043427,0.2329554034577489,0.23795553035642864,0.04527007219230536,0.07428918314823953
Flower (cond seed),8,4,0.03604198249692899,0.06856287628901588,0.2904599710153269,0.30302925592075924,0.1571967275485041,0.1711765954665461,0.06011067929415703,0.08449062998818974
Flower (cond seed),7,5,0.032445641423625174,0.053890501999191494,0.00038559781499697936,0.0451966056832029,0.42908584680506323,0.4305002049272257,0.45885433794900593,0.45876409216555614
Flower (cond seed),1,6,0.026330927846216854,0.06929272253335317,0.04109528196394412,0.07463505167125016,0.09467202351481327,0.09940065725280772,0.08536020546634614,0.09810152776359865
Flower (cond seed),6,7,0.013880557772075398,0.07716600784530023,0.10592705932114792,0.11901223202561023,0.1302288410053705,0.13877062885815944,0.03738519457086562,0.08397460676429433
Flower (cond seed),2,8,0.011180103535153219,0.08740525714801661,0.18299476762998157,0.1912195518234293,0.011061105341284358,0.04673215515401362,0.007240535356262131,0.06006895151037185
Flower (cond seed),3,9,0.0018690693017882716,0.0727825169934541,0.09811289993572579,0.11471865448743568,0.12492503010284772,0.134183872031379,0.18269205455485327,0.1916257168167175
