source,method,k,z_r2_linreg,z_r2_mlp,n_dims,logM*_r2_mlp,logSFR_r2_mlp,A_v_r2_mlp
Raw,none,0,0.40368766286730773,0.6066877107012882,10,0.8202586177785707,0.6715127567601171,0.5901198227354099
FastICA,residB,0,-3.365364201401988e-05,0.6908675638856465,10,0.7497993644909786,0.6775172411742456,0.5863742275158229
iVAE,residB,0,0.0035560107729514234,0.4013413072197546,10,0.534343129967477,0.6595833783790414,0.5697217185790173
FastICA,residA,1,0.26084623174794164,0.5510530806315321,9,0.7179757038050999,0.5238807009015665,0.5425895595915713
FastICA,residA,2,0.15552001551581074,0.47317754314385585,8,0.6894172827111915,0.47160153271247385,0.5201959825660898
FastICA,residA,3,0.07139622819334868,0.29841148879650026,7,0.48476134869115783,0.31470211508899404,0.3924723255791769
FastICA,residA,4,0.05359598474088123,0.25785611526047536,6,0.4595961828639068,0.24184686490477125,0.3692027707062123
FastICA,residA,6,0.02417774565437214,0.14816850927341518,4,0.26889822837002875,0.15126677485832096,0.0926932642202074
FastICA,residA,7,0.00950060674425468,0.08790585810611984,3,0.20417184762507545,0.10911894336311734,0.04625896512659877
FastICA,residA,8,0.002595111198148148,0.023012637113326684,2,0.032925912614110486,0.05500164377781447,0.026929292319436637
FastICA,residA,9,0.0001311993943925449,0.0073766399243841985,1,0.012560746488497587,0.04670325890287419,0.02000323816994809
iVAE,residA,1,0.4204067164364317,0.5816562616674387,9,0.7755303599556898,0.6152512060437936,0.5867430978156327
iVAE,residA,2,0.3322296715472507,0.4748991618732845,8,0.47549800137344866,0.28030732842022876,0.45018445232405746
iVAE,residA,3,0.23983515180849369,0.393050896451863,7,0.39464842851927184,0.25013186885844196,0.44736633997590625
iVAE,residA,4,0.14502463609636063,0.26740359838865513,6,0.33729454456796615,0.2270022302853666,0.43315312211571366
iVAE,residA,6,0.04606175240846366,0.14855505909229938,4,0.21530399058050498,0.19545442604813734,0.4089344716451436
iVAE,residA,7,0.01892098479925619,0.10846858876600818,3,0.18467317201599343,0.1750575979601524,0.384554130698175
iVAE,residA,8,0.005541748973276084,0.02418511441535065,2,0.02751521078386243,0.006161690592645597,0.003590314113289139
iVAE,residA,9,0.0012757013283060115,0.008452325698876217,1,-0.008744553449355541,0.004835231931663242,0.0026503308370913192
Resid-linear,direct,0,-3.3653642013797835e-05,0.6923666560881055,10,0.7533883188632271,0.6785725240257825,0.5853156635111018
Resid-mlp,direct,0,0.0009128428444826753,0.6901966452393553,10,0.7066800003403805,0.6732355126038683,0.583432676016064
Resid-rf,direct,0,-3.118749974184709e-05,0.06990866819601327,10,0.3097605588854183,0.4135437382809063,0.34997179996169747
Flower-cond,embedding,0,0.010789918039704971,0.08359552777324353,10,0.27752300312567024,0.5968704486780942,0.5330738077998851
Flower-uncond,embedding,0,0.40394704947062865,0.6075664880439393,10,0.8149213882416745,0.6650844551745763,0.5902446006554549
