residualiser,iteration,z_r2_linreg,z_r2_mlp,mean_phys_r2_mlp
linear,0,0.40372448018609974,0.554594042999188,0.6802170335846901
linear,1,-8.05759566624431e-06,0.6073088303663717,0.6530636720388313
linear,2,-8.05759566624431e-06,0.6073088303663721,0.6530636720388314
linear,3,-8.05759566624431e-06,0.6073088303663721,0.6530636720388313
linear,4,-8.05759566624431e-06,0.6073088303663721,0.6530636720388314
linear,5,-8.05759566624431e-06,0.6073088303663723,0.6530636720388313
mlp,0,0.40372448018609974,0.554594042999188,0.6802170335846901
mlp,1,0.0007657619610196287,0.6015627073043247,0.6425060270424775
mlp,2,6.344932097790412e-05,0.6072411271767565,0.6374652455071415
mlp,3,0.00020179202008474562,0.6079727438621875,0.6447184606841955
mlp,4,0.0004009557116115836,0.6067157718824994,0.6403568641127134
mlp,5,0.000637387988911442,0.6061195333101432,0.6438300989399829
