source,method,k,z_r2_linreg,z_r2_mlp,n_dims,logM*_r2_mlp,logSFR_r2_mlp,A_v_r2_mlp
Raw,none,0,0.40372448018609974,0.554594042999188,10,0.8088176486694214,0.6588990459886613,0.5729344060959877
FastICA,residB,0,-8.057595666022266e-06,0.6065248780326653,10,0.728253652596417,0.6660911807746456,0.5673014146873152
iVAE,residB,0,0.002714402100968516,0.4336734698037711,10,0.6176500650550667,0.6530481936975898,0.5593902614276198
FastICA,residA,1,0.27322836581465537,0.5017260360312741,9,0.7083563868735496,0.49856888197380467,0.5125394795138865
FastICA,residA,2,0.1422791329901275,0.3889559191163252,8,0.6515832450863701,0.4348081834838573,0.48775106388054357
FastICA,residA,3,0.05748950685008114,0.21909954706886414,7,0.483668285178145,0.2750185100991309,0.34784288406839914
FastICA,residA,4,0.03147777682196051,0.1631880897511182,6,0.38276136694755314,0.21801153783709593,0.30598371463380747
FastICA,residA,6,0.009127190803767116,0.0956735614031341,4,0.28685431545270723,0.1655380809953193,0.2577871515464242
FastICA,residA,7,0.0020271341519476627,0.02909737687470748,3,0.14629498527929552,0.10552063550249924,0.211773723102488
FastICA,residA,8,4.091896691282848e-05,0.009042438118942009,2,0.13952815097429405,0.0935303975848516,0.21137223636828284
FastICA,residA,9,-3.0002025867448268e-05,0.03020317469759559,1,0.11572059913559807,0.04483319699739119,0.19500261537981656
iVAE,residA,1,0.38750202912508247,0.5041541697325557,9,0.7743720634410157,0.6034825978318124,0.5670950717829613
iVAE,residA,2,0.2750562450162328,0.375359166951275,8,0.4011712017158995,0.4217458826744368,0.5177953767518535
iVAE,residA,3,0.16191781392160087,0.2360165750140214,7,0.30403047062806177,0.4074806365808177,0.500877392968254
iVAE,residA,4,0.06528385232729517,0.15465056249978137,6,0.26414692768518844,0.3950297346112356,0.4875365437311545
iVAE,residA,6,0.01832768717645694,0.026864121381410033,4,0.13479241320689983,0.33526112231340766,0.4513153947598907
iVAE,residA,7,0.010374673649126587,-0.0007304600166857522,3,0.10393437194255561,0.33171672318788625,0.45101578664717745
iVAE,residA,8,0.004470004159525809,-0.019679711236460617,2,0.08066657156335344,0.32256860160482437,0.4435964878508105
iVAE,residA,9,0.002093508497100105,0.007401041599681912,1,0.012454494004090488,0.2725172197331057,0.42747116910244676
Resid-linear,direct,0,-8.05759566624431e-06,0.6073088303663717,10,0.7302602172309391,0.66316198091371,0.5657688179718445
Resid-mlp,direct,0,0.0007657619610196287,0.6015627073043247,10,0.6934802964985586,0.6626587862468085,0.5713789983820652
Resid-rf,direct,0,-0.0002739054286884368,-0.40518928753905326,10,-0.2136553249970865,0.022426368897093818,-0.04029132548840564
Flower-cond,embedding,0,0.010747411721240385,0.028307263608084332,10,0.2503719034956461,0.577363310089314,0.5118711766229898
Flower-uncond,embedding,0,0.40398673821494413,0.5340816989522107,10,0.7968816924852797,0.6483933327787353,0.5668883450854727
