source,method,k,z_r2_linreg,z_r2_mlp,n_dims,logM*_r2_mlp,logSFR_r2_mlp,A_v_r2_mlp
Raw,none,0,0.2829625504365828,0.5138947580569639,6,0.8040391956572019,0.6323974303266005,0.53547545337715
FastICA,residB,0,-8.05759566624431e-06,0.8208356180854912,6,0.7968658308614418,0.6445803650713309,0.547578707351722
iVAE,residB,0,0.010423857981155082,0.6023188718242575,6,0.763845810782107,0.6546387220002764,0.48581018181002034
FastICA,residA,1,0.10672151989483736,0.4886808613858983,5,0.729490956327941,0.5943498226235637,0.5384834334398882
FastICA,residA,2,0.06255419383755323,0.41797962919556064,4,0.5256502998642818,0.5190199424186818,0.5211219468828279
FastICA,residA,3,0.009631734814318227,0.3238151961053336,3,0.5140147096746185,0.4853285734174019,0.48954922751513996
FastICA,residA,4,0.0033434763004690504,0.11699052842969715,2,0.24118759049674965,0.3388169072717512,0.379299189347567
FastICA,residA,5,0.0002670180245458731,0.1020070371087286,1,0.1042684459587987,0.10791281074013093,0.291482464218344
iVAE,residA,1,0.2284242893285312,0.3858597569937865,5,0.6883646290815816,0.5761675753390674,0.5065403959675303
iVAE,residA,2,0.17475818676213972,0.33612752255724243,4,0.5347218073592566,0.32852226227811543,0.24498419522016512
iVAE,residA,3,0.08747142140753805,0.10361700124714468,3,0.44696666435830523,0.23849591764516365,0.10615378437840794
iVAE,residA,4,0.05074485082920033,0.09899209610866222,2,0.3620084357967708,0.22453879491008566,0.10305354317568272
iVAE,residA,5,0.009722736321010728,0.03161364287207613,1,0.058632830297680405,0.05136074627181886,0.0005410776977456955
Resid-linear,direct,0,-8.057595666910444e-06,0.7644462921617879,6,0.7821655929671272,0.6396986728926446,0.5453029701693693
Resid-mlp,direct,0,0.013368783038612553,0.7201758932708262,6,0.7364784813760139,0.6432234826015071,0.5366914431070529
Resid-rf,direct,0,-0.0005293040143496963,-0.45379367251592573,6,-0.02366389581477102,0.27775599126615147,0.23789440196584022
Flower-cond,embedding,0,0.05949021631765239,0.20849256435622465,6,0.4534994027594974,0.6198569193532067,0.5032108237779118
Flower-uncond,embedding,0,0.3570976610194774,0.5631028081574356,6,0.8076534595769354,0.6475553226502437,0.5607956988362297
