ICA-baseline sweep on spender_II spectra (condition = redshift z)
z R2: LOWER = better removal | logM*/logSFR/A_v R2: HIGHER = better preservation

       source    method  k  n_dims  z_r2_linreg  z_r2_mlp  logM*_r2_mlp  logSFR_r2_mlp  A_v_r2_mlp
          Raw      none  0       6        0.283     0.514         0.804          0.632       0.535
      FastICA    residB  0       6       -0.000     0.821         0.797          0.645       0.548
         iVAE    residB  0       6        0.010     0.602         0.764          0.655       0.486
      FastICA    residA  1       5        0.107     0.489         0.729          0.594       0.538
      FastICA    residA  2       4        0.063     0.418         0.526          0.519       0.521
      FastICA    residA  3       3        0.010     0.324         0.514          0.485       0.490
      FastICA    residA  4       2        0.003     0.117         0.241          0.339       0.379
      FastICA    residA  5       1        0.000     0.102         0.104          0.108       0.291
         iVAE    residA  1       5        0.228     0.386         0.688          0.576       0.507
         iVAE    residA  2       4        0.175     0.336         0.535          0.329       0.245
         iVAE    residA  3       3        0.087     0.104         0.447          0.238       0.106
         iVAE    residA  4       2        0.051     0.099         0.362          0.225       0.103
         iVAE    residA  5       1        0.010     0.032         0.059          0.051       0.001
 Resid-linear    direct  0       6       -0.000     0.764         0.782          0.640       0.545
    Resid-mlp    direct  0       6        0.013     0.720         0.736          0.643       0.537
     Resid-rf    direct  0       6       -0.001    -0.454        -0.024          0.278       0.238
  Flower-cond embedding  0       6        0.059     0.208         0.453          0.620       0.503
Flower-uncond embedding  0       6        0.357     0.563         0.808          0.648       0.561
