Run,Split,Attribute,Layers,N_train,N_test,R2_Mean,R2_Median,CI_95_Low,CI_95_High,Err_95
flower,orig,z,1-Layer,200000,43098,0.5808,0.5808,0.5738,0.587,0.0066
flower,orig,z,2-Layer,200000,43098,0.609,0.6091,0.6024,0.6154,0.0065
flower,orig,logM*,1-Layer,200000,43098,0.8147,0.8147,0.8094,0.8201,0.0053
flower,orig,logM*,2-Layer,200000,43098,0.8206,0.8205,0.8153,0.8258,0.0052
flower,orig,logSFR,1-Layer,200000,43098,0.6657,0.6658,0.6599,0.6715,0.0058
flower,orig,logSFR,2-Layer,200000,43098,0.6651,0.6652,0.6589,0.6709,0.006
flower,orig,A_v,1-Layer,200000,43098,0.59,0.5899,0.5811,0.5992,0.009
flower,orig,A_v,2-Layer,200000,43098,0.5948,0.5949,0.5863,0.6037,0.0087
flower,cond,z,1-Layer,200000,43098,0.0572,0.0572,0.0515,0.0628,0.0057
flower,cond,z,2-Layer,200000,43098,0.0846,0.0846,0.0797,0.0899,0.0051
flower,cond,logM*,1-Layer,200000,43098,0.2643,0.264,0.2568,0.2717,0.0074
flower,cond,logM*,2-Layer,200000,43098,0.2694,0.2694,0.2609,0.2779,0.0085
flower,cond,logSFR,1-Layer,200000,43098,0.5893,0.5895,0.5831,0.5949,0.0059
flower,cond,logSFR,2-Layer,200000,43098,0.597,0.5972,0.5905,0.6027,0.0061
flower,cond,A_v,1-Layer,200000,43098,0.527,0.5271,0.5168,0.5363,0.0097
flower,cond,A_v,2-Layer,200000,43098,0.5332,0.533,0.5237,0.5419,0.0091
flower,uncond,z,1-Layer,200000,43098,0.5881,0.5881,0.5811,0.5947,0.0068
flower,uncond,z,2-Layer,200000,43098,0.6014,0.6015,0.5946,0.6085,0.007
flower,uncond,logM*,1-Layer,200000,43098,0.8055,0.8055,0.7999,0.8108,0.0054
flower,uncond,logM*,2-Layer,200000,43098,0.8133,0.8133,0.808,0.8186,0.0053
flower,uncond,logSFR,1-Layer,200000,43098,0.6534,0.6535,0.6476,0.6586,0.0055
flower,uncond,logSFR,2-Layer,200000,43098,0.6663,0.6664,0.6607,0.6716,0.0055
flower,uncond,A_v,1-Layer,200000,43098,0.5785,0.5785,0.5696,0.5876,0.009
flower,uncond,A_v,2-Layer,200000,43098,0.5895,0.5895,0.5807,0.5983,0.0088
factor_bound,physical_factors,z,1-Layer,200000,43098,0.7098,0.7098,0.7037,0.7153,0.0058
factor_bound,physical_factors,z,2-Layer,200000,43098,0.7212,0.7212,0.715,0.727,0.006
frozen_base,orig,z,1-Layer,200000,43098,0.5808,0.5808,0.5738,0.587,0.0066
frozen_base,orig,z,2-Layer,200000,43098,0.609,0.6091,0.6024,0.6154,0.0065
frozen_base,orig,logM*,1-Layer,200000,43098,0.8147,0.8147,0.8094,0.8201,0.0053
frozen_base,orig,logM*,2-Layer,200000,43098,0.8206,0.8205,0.8153,0.8258,0.0052
frozen_base,orig,logSFR,1-Layer,200000,43098,0.6657,0.6658,0.6599,0.6715,0.0058
frozen_base,orig,logSFR,2-Layer,200000,43098,0.6651,0.6652,0.6589,0.6709,0.006
frozen_base,orig,A_v,1-Layer,200000,43098,0.59,0.5899,0.5811,0.5992,0.009
frozen_base,orig,A_v,2-Layer,200000,43098,0.5948,0.5949,0.5863,0.6037,0.0087
frozen_base,cond,z,1-Layer,200000,43098,0.0606,0.0605,0.0546,0.0673,0.0063
frozen_base,cond,z,2-Layer,200000,43098,0.0866,0.0866,0.0813,0.092,0.0053
frozen_base,cond,logM*,1-Layer,200000,43098,0.2712,0.2711,0.2643,0.2784,0.007
frozen_base,cond,logM*,2-Layer,200000,43098,0.2586,0.2585,0.2505,0.2662,0.0079
frozen_base,cond,logSFR,1-Layer,200000,43098,0.6023,0.6025,0.596,0.6076,0.0058
frozen_base,cond,logSFR,2-Layer,200000,43098,0.609,0.6092,0.6026,0.6144,0.0059
frozen_base,cond,A_v,1-Layer,200000,43098,0.5272,0.5272,0.5172,0.5364,0.0096
frozen_base,cond,A_v,2-Layer,200000,43098,0.5316,0.5315,0.5221,0.5403,0.0091
frozen_base,uncond,z,1-Layer,200000,43098,0.5858,0.5858,0.5791,0.5925,0.0067
frozen_base,uncond,z,2-Layer,200000,43098,0.6043,0.6044,0.5972,0.6109,0.0069
frozen_base,uncond,logM*,1-Layer,200000,43098,0.8071,0.8071,0.8017,0.8123,0.0053
frozen_base,uncond,logM*,2-Layer,200000,43098,0.8114,0.8115,0.8058,0.8165,0.0054
frozen_base,uncond,logSFR,1-Layer,200000,43098,0.657,0.6571,0.6512,0.6623,0.0055
frozen_base,uncond,logSFR,2-Layer,200000,43098,0.6667,0.6668,0.6612,0.6724,0.0056
frozen_base,uncond,A_v,1-Layer,200000,43098,0.5805,0.5804,0.5716,0.5896,0.009
frozen_base,uncond,A_v,2-Layer,200000,43098,0.5897,0.5897,0.5809,0.5984,0.0088
